port,year,count,changeYoY,pctChangeYoY
Turner,1996,8750,,
Turner,1997,9307,557,6
Turner,1998,7119,-2188,-24
Turner,1999,7109,-10,0
Turner,2000,6823,-286,-4
Turner,2001,5977,-846,-12
Turner,2002,5379,-598,-10
Turner,2003,4506,-873,-16
Turner,2004,4676,170,4
Turner,2005,5013,337,7
Turner,2006,5208,195,4
Turner,2007,6240,1032,20
Turner,2008,6966,726,12
Turner,2009,7417,451,6
Turner,2010,9169,1752,24
Turner,2011,9530,361,4
Turner,2012,12182,2652,28
Turner,2013,12861,679,6
Turner,2014,12294,-567,-4
Turner,2015,10912,-1382,-11
Turner,2016,9944,-968,-9
Turner,2017,10133,189,2
Turner,2018,8999,-1134,-11
Turner,2019,8952,-47,-1
Turner,2020,2420,-6532,-73
Turner,2021,2122,-298,-12
Turner,2022,4242,2120,100
Turner,2023,5680,1438,34
Turner,2024,6151,471,8
Turner,2025,4462,-1689,-27
